"index","parent","subba","time","start","end","start_act","end_act","start_match","end_match","n_obs","na","type","update","success","comments"
18,"CISO","SCE",2024-07-14 16:13:01.243538,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
18,"CISO","SDGE",2024-07-14 16:13:01.244889,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
18,"CISO","VEA",2024-07-14 16:13:01.246267,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
19,"CISO","PGAE",2024-07-14 17:16:37.442326,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
19,"CISO","SCE",2024-07-14 17:16:37.443981,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
19,"CISO","SDGE",2024-07-14 17:16:37.445375,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
19,"CISO","VEA",2024-07-14 17:16:37.446716,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
20,"CISO","PGAE",2024-07-14 17:55:19.405766,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
20,"CISO","SCE",2024-07-14 17:55:19.407499,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
20,"CISO","SDGE",2024-07-14 17:55:19.408896,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
20,"CISO","VEA",2024-07-14 17:55:19.410274,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
21,"CISO","PGAE",2024-07-14 18:22:16.440558,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
21,"CISO","SCE",2024-07-14 18:22:16.442222,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
21,"CISO","SDGE",2024-07-14 18:22:16.443579,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
21,"CISO","VEA",2024-07-14 18:22:16.444944,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
22,"CISO","PGAE",2024-07-14 19:11:24.019833,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
22,"CISO","SCE",2024-07-14 19:11:24.021546,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
22,"CISO","SDGE",2024-07-14 19:11:24.023007,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
22,"CISO","VEA",2024-07-14 19:11:24.024356,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
23,"CISO","PGAE",2024-07-14 20:11:41.963495,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
23,"CISO","SCE",2024-07-14 20:11:41.96514,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
23,"CISO","SDGE",2024-07-14 20:11:41.966531,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
23,"CISO","VEA",2024-07-14 20:11:41.967889,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
24,"CISO","PGAE",2024-07-14 21:10:24.107071,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
24,"CISO","SCE",2024-07-14 21:10:24.108804,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
24,"CISO","SDGE",2024-07-14 21:10:24.110173,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
24,"CISO","VEA",2024-07-14 21:10:24.111516,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
25,"CISO","PGAE",2024-07-14 22:11:46.526243,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
25,"CISO","SCE",2024-07-14 22:11:46.52799,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
25,"CISO","SDGE",2024-07-14 22:11:46.529341,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
25,"CISO","VEA",2024-07-14 22:11:46.530681,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
26,"CISO","PGAE",2024-07-14 23:11:33.086192,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
26,"CISO","SCE",2024-07-14 23:11:33.08794,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
26,"CISO","SDGE",2024-07-14 23:11:33.089341,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
26,"CISO","VEA",2024-07-14 23:11:33.090708,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available;"
27,"CISO","PGAE",2024-07-15 00:50:54.630662,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; "
27,"CISO","SCE",2024-07-15 00:50:54.632352,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; "
27,"CISO","SDGE",2024-07-15 00:50:54.633731,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; "
27,"CISO","VEA",2024-07-15 00:50:54.635101,2024-07-14 08:00:00,2024-07-14 07:00:00,NA,NA,NA,NA,NA,NA,"refresh",FALSE,FALSE,"No new data is available; "
