"model","yhat","lower","upper","subba","forecast_label","method","time"
"LM",145.496524610221,115.48823516504,175.504814055402,"VEA","2024-07-14","model5",2024-07-14 03:00:00
"LM",133.647325946291,103.63903650111,163.655615391472,"VEA","2024-07-14","model5",2024-07-14 04:00:00
"LM",125.602226358707,95.5939369135261,155.610515803888,"VEA","2024-07-14","model5",2024-07-14 05:00:00
"LM",116.541034589399,86.5327451442182,146.54932403458,"VEA","2024-07-14","model5",2024-07-14 06:00:00
"LM",106.776347783305,76.7680583381245,136.784637228486,"VEA","2024-07-14","model5",2024-07-14 07:00:00
"LM",97.3583334502915,67.3500440051106,127.366622895472,"VEA","2024-07-14","model5",2024-07-14 08:00:00
"LM",89.8185242027119,59.810234757531,119.826813647893,"VEA","2024-07-14","model5",2024-07-14 09:00:00
"LM",83.6064199765651,53.5981305313842,113.614709421746,"VEA","2024-07-14","model5",2024-07-14 10:00:00
"LM",80.106511031461,50.0982215862801,110.114800476642,"VEA","2024-07-14","model5",2024-07-14 11:00:00
"LM",76.4860179461465,46.4777285009656,106.494307391327,"VEA","2024-07-14","model5",2024-07-14 12:00:00
"LM",74.7231301979963,44.7148407528154,104.731419643177,"VEA","2024-07-14","model5",2024-07-14 13:00:00
"LM",74.486898047275,44.4786086020941,104.495187492456,"VEA","2024-07-14","model5",2024-07-14 14:00:00
"LM",79.1159821909563,49.1076927457754,109.124271636137,"VEA","2024-07-14","model5",2024-07-14 15:00:00
"LM",146.261187044073,116.252897598892,176.269476489254,"VEA","2024-07-14","model5",2024-07-14 16:00:00
"LM",174.973737838589,144.965448393408,204.98202728377,"VEA","2024-07-14","model5",2024-07-14 17:00:00
"LM",172.971689397024,142.963399951843,202.979978842205,"VEA","2024-07-14","model5",2024-07-14 18:00:00
"LM",186.768329302667,156.760039857486,216.776618747848,"VEA","2024-07-14","model5",2024-07-14 19:00:00
"LM",193.938866637352,163.930577192171,223.947156082532,"VEA","2024-07-14","model5",2024-07-14 20:00:00
"LM",172.459624820256,142.451335375075,202.467914265437,"VEA","2024-07-14","model5",2024-07-14 21:00:00
"LM",177.03090932055,147.022619875369,207.039198765731,"VEA","2024-07-14","model5",2024-07-14 22:00:00
"LM",145.79932199606,115.791032550879,175.807611441241,"VEA","2024-07-14","model5",2024-07-14 23:00:00
